model,loss,learning_rate,optimizer,num_filters,kernel_sizes,hidden_size,num_layers,num_heads,ffn_dim,train_loss,train_accuracy,validate_loss,validate_accuracy,test_loss,test_accuracy
cnn,cross_entropy,0.001,rmsprop,64,"[2, 3, 4]",-,-,-,-,0.6584144952499213,0.8208736440926414,1.3315031975682428,0.4490035169988277,1.3702932711128888,0.42973708068902994
rnn,cross_entropy_ls,0.001,adam,-,-,128,1,-,-,0.6109458811294994,0.9393139841688655,1.6290238922394173,0.4437280187573271,1.6620929335207693,0.4091870655787247
cnn,cross_entropy,0.001,adam,128,"[2, 3, 4]",-,-,-,-,0.5603458514244317,0.8800938141307535,1.341410444322253,0.44196951934349354,1.3562822716226748,0.43094590510728314
rnn,cross_entropy_ls,0.001,adam,-,-,128,2,-,-,0.594305784287812,0.9325710935209616,1.7412308302182804,0.43903868698710435,1.7442677686782935,0.4315503173164098
rnn,cross_entropy,0.001,adam,-,-,128,1,-,-,0.29849596515110044,0.9141014365288772,1.6849621245058872,0.4372801875732708,1.744679382215565,0.43064369900271987
rnn,cross_entropy_ls,0.0005,rmsprop,-,-,128,2,-,-,0.9887533918464334,0.6883611844034008,1.4735277301401495,0.43669402110199296,1.4708757829579675,0.4348745844666062
transformer,cross_entropy,0.001,adam,-,-,-,1,8,256,0.9454967150133189,0.624157138669012,1.4979398442041412,0.4349355216881594,1.4695584434294275,0.42490178301601694
rnn,cross_entropy,0.001,adam,-,-,128,2,-,-,0.7155220703587998,0.7484608619173263,1.4373770640575592,0.4349355216881594,1.4649287973800502,0.40888485947416137
cnn,cross_entropy_ls,0.001,rmsprop,64,"[2, 3, 4]",-,-,-,-,0.8571263536509445,0.8858106127235414,1.3993034107045021,0.4343493552168816,1.4055387833284878,0.4270172257479601
rnn,cross_entropy_ls,0.001,rmsprop,-,-,128,2,-,-,0.7643105582874984,0.8216065669891527,1.6379527036637802,0.4320046893317702,1.6351138089999362,0.42973708068902994
cnn,cross_entropy_ls,0.001,adam,128,"[2, 3, 4]",-,-,-,-,0.8446634399405115,0.8528290823805336,1.3940572459141507,0.4320046893317702,1.4125736006511667,0.4294348745844666
transformer,cross_entropy,0.001,rmsprop,-,-,-,1,8,512,0.7898141080352505,0.6848431545001465,1.714208911899106,0.4308323563892145,1.6713216507964423,0.4224841341795104
cnn,cross_entropy_ls,0.001,adam,128,"[3, 4, 5]",-,-,-,-,0.7392832363361279,0.9396071533274699,1.4238887474657083,0.4308323563892145,1.4150611533971666,0.4209731036566939
cnn,cross_entropy,0.0005,rmsprop,128,"[2, 3, 4]",-,-,-,-,0.8821377171794887,0.7360011726766345,1.353164884018311,0.42907385697538103,1.3547209562510296,0.4318525234209731
cnn,cross_entropy,0.001,adam,128,"[3, 4, 5]",-,-,-,-,0.5144921217241514,0.9127821753151568,1.369004463953821,0.42907385697538103,1.3706725636217376,0.4224841341795104
cnn,cross_entropy,0.001,adam,64,"[2, 3, 4]",-,-,-,-,0.780604849215373,0.8197009674582234,1.3313830642320068,0.42790152403282533,1.3365792836909498,0.4315503173164098
rnn,cross_entropy,0.0005,rmsprop,-,-,128,2,-,-,0.9528221115972317,0.6237173849311053,1.4091066530133747,0.42790152403282533,1.3924036446061514,0.4221819280749471
transformer,cross_entropy,0.001,adam,-,-,-,1,4,256,0.8716329699455906,0.6467311638815597,1.524954203424532,0.42790152403282533,1.5501925463977628,0.4122091266243578
transformer,cross_entropy_ls,0.001,adam,-,-,-,1,8,256,0.9097338707277203,0.7437701553796541,1.6713699721507422,0.42790152403282533,1.7193276028360762,0.4119069205197945
cnn,cross_entropy,0.001,rmsprop,128,"[2, 3, 4]",-,-,-,-,0.6584951113270581,0.8084139548519496,1.3672932467455041,0.4273153575615475,1.3774749108332094,0.4230885463886371
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,1,8,512,1.0453941789724652,0.64805042509528,1.5586877472934522,0.42672919109026963,1.5638288842043007,0.4242973708068903
cnn,cross_entropy_ls,0.001,adam,64,"[3, 4, 5]",-,-,-,-,0.8980691313603797,0.8287892113749633,1.4262163400091012,0.4249706916764361,1.4247948709446414,0.41160471441523117
rnn,cross_entropy,0.001,rmsprop,-,-,256,2,-,-,0.46874435866763253,0.8337730870712401,1.7519479226954238,0.4232121922626026,1.774655978749547,0.4022363251737685
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,2,4,256,1.0744981900648232,0.659484022280856,1.7682126460013887,0.42262602579132474,1.7132625429246244,0.4209731036566939
cnn,cross_entropy,0.001,rmsprop,64,"[3, 4, 5]",-,-,-,-,0.5291607135448663,0.905452946350044,1.3834722587120352,0.42262602579132474,1.4113404936356715,0.414324569356301
cnn,cross_entropy_ls,0.001,rmsprop,128,"[2, 3, 4]",-,-,-,-,0.8663809983410887,0.7965406039284667,1.4518973053130566,0.4220398593200469,1.4427880146021423,0.41644001208824416
cnn,cross_entropy_ls,0.0005,rmsprop,128,"[3, 4, 5]",-,-,-,-,0.9379168458783148,0.776751685722662,1.4350282855218348,0.4220398593200469,1.434128786257366,0.40253853127833183
